logT: 3.46,,2884,,,,,,,,,,,,,,,
logP,P_Gpa,P_bar,XH2,XH,log_rho,rho,Vm,log_S,log_U,dlogrho_dlogT_P,dlogrho_dlogP_T,dlogS_dlogT_P,dlogS_dlogP_T,dlogT_dlogP_S,Z,Int,phi
8,0.01,100,0.989197,0.0108032,-3.0798,0.000832147,2422.649172,8.9411,11.5535,-1.0452,0.998,0.2618,-0.0499,0.1905,1.010867533,0.010867533,1.010926799
8.2,0.015848932,158.4893192,0.9914,0.00859981,-2.8805,0.00131674,1531.054068,8.9311,11.5507,-1.0312,0.9948,0.258,-0.0504,0.1955,1.012498172,0.012498172,1.012576601
8.4,0.025118864,251.1886432,0.993151,0.00684853,-2.682,0.002079697,969.3721265,8.9209,11.5485,-1.0173,0.9901,0.256,-0.0511,0.1996,1.016001263,0.016001263,1.016129969
8.6,0.039810717,398.1071706,0.994542,0.00545815,-2.4846,0.003276423,615.3051184,8.9106,11.547,-1.002,0.9832,0.2555,-0.0519,0.2029,1.022102023,0.022102023,1.022348082
8.8,0.063095734,630.9573445,0.995644,0.00435592,-2.2889,0.00514162,392.094299,8.9002,11.546,-0.9835,0.9727,0.2563,-0.0527,0.2054,1.032272239,0.032272239,1.032798635
9,0.1,1000,0.996516,0.00348398,-2.0958,0.008020473,251.3567358,8.8896,11.5455,-0.9592,0.9572,0.2581,-0.0535,0.2072,1.04880379,0.04880379,1.050014307
9.2,0.158489319,1584.893192,0.997204,0.00279635,-1.9065,0.012402236,162.5513302,8.8788,11.5457,-0.9266,0.9343,0.2607,-0.0543,0.2081,1.074964811,0.074964811,1.077846222
9.4,0.251188643,2511.886432,0.997744,0.00225637,-1.7227,0.018936513,106.4609967,8.8679,11.5468,-0.8814,0.9019,0.264,-0.0549,0.2081,1.115820274,0.115820274,1.122794058
9.6,0.398107171,3981.071706,0.998165,0.00183516,-1.5465,0.028411882,70.95622918,8.8568,11.549,-0.8208,0.8581,0.2682,-0.0554,0.2067,1.178675477,0.178675477,1.195632671
9.8,0.630957344,6309.573445,0.998491,0.00150946,-1.3802,0.041667745,48.3827476,8.8457,11.5529,-0.7449,0.8028,0.2723,-0.0558,0.2049,1.273779479,0.273779479,1.314924802
10,1,10000,0.998738,0.00126208,-1.226,0.059429216,33.92270907,8.8345,11.5591,-0.6555,0.7385,0.2771,-0.0561,0.2025,1.415449072,0.415449072,1.515050955
10.2,1.584893192,15848.93192,0.998919,0.00107873,-1.0851,0.082205334,24.52395597,8.8233,11.5687,-0.5595,0.6706,0.2823,-0.0561,0.1986,1.621788617,0.621788617,1.862255928
10.4,2.511886432,25118.86432,0.999049,0.000950827,-0.9576,0.110255433,18.2848132,8.8121,11.5827,-0.4619,0.6047,0.287,-0.0559,0.1949,1.91643568,0.91643568,2.500362397
10.6,3.981071706,39810.71706,0.99913,0.000870205,-0.8428,0.143615065,14.03752452,8.8009,11.603,-0.3703,0.5453,0.2925,-0.0565,0.1931,2.331815839,1.331815839,3.787915391
10.8,6.309573445,63095.73445,0.999149,0.000848066,-0.7389,0.182431572,11.0507188,8.7894,11.6314,-0.2912,0.4945,0.3009,-0.0578,0.1922,2.909338459,1.909338459,6.748622828
11,10,100000,0.999125,0.000853686,-0.6442,0.226881978,8.885677112,8.7778,11.6691,-0.2274,0.4551,0.3114,-0.0582,0.187,3.707611734,2.707611734,14.99342443
11.2,15.84893192,158489.3192,0.999148,0.00085194,-0.5561,0.277907329,7.25421675,8.7662,11.7185,-0.1767,0.4274,0.3185,-0.0576,0.181,4.797270948,3.797270948,44.57935895
11.4,25.11886432,251188.6432,0.998954,0.000935926,-0.4727,0.336744104,5.986741797,8.7547,11.7806,-0.1343,0.4086,0.3203,-0.058,0.181,6.274718513,5.274718513,195.3354844
